year,country,origin,rsd_type,pending_sy,psy_unhcr,applied,convention_status,nonconvention_status,rejected,otherwise_closed,total_decisions,pending_ey,pey_unhcr
2001,Australia,"Syrian Arab Rep.","G / AR",46,0,72,13,0,58,4,75,43,0
2001,"United Arab Emirates","Syrian Arab Rep.","U / FI",49,0,3,0,0,0,0,,52,0
2002,Yemen,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,1
2002,Uzbekistan,"Syrian Arab Rep.","U / FI",1,1,1,0,0,0,0,,2,2
2002,"United States of America","Syrian Arab Rep.","G / IN",61,0,47,20,0,29,9,58,51,0
2002,"United States of America","Syrian Arab Rep.","G / EO",121,0,116,10,0,27,61,98,139,0
2002,Turkey,"Syrian Arab Rep.","U / FI",2,2,14,6,0,1,4,11,5,5
2002,Sweden,"Syrian Arab Rep.","G / JR",0,0,0,0,0,0,0,,328,0
2002,Sweden,"Syrian Arab Rep.","G / AR",0,0,0,33,100,187,25,345,43,0
2002,Sweden,"Syrian Arab Rep.","G / FI",0,0,541,5,53,429,37,524,500,0
2002,Slovakia,"Syrian Arab Rep.","G / FI",7,0,15,0,0,0,17,17,5,0
2002,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","U / FI",1,1,0,0,0,0,1,1,0,0
2002,"Saudi Arabia","Syrian Arab Rep.","U / FI",13,0,10,0,0,19,3,22,1,0
2002,Romania,"Syrian Arab Rep.","G / FI",0,0,27,0,0,24,7,31,3,0
2002,Poland,"Syrian Arab Rep.","G / AR",0,0,9,0,0,9,0,9,0,0
2002,Poland,"Syrian Arab Rep.","G / FI",0,0,1,0,0,12,1,13,1,0
2002,Peru,"Syrian Arab Rep.","G / FI",1,0,1,0,0,0,0,,2,1
2002,Pakistan,"Syrian Arab Rep.","U / FI",19,0,0,0,0,0,18,18,1,0
2002,Oman,"Syrian Arab Rep.","U / FI",1,0,0,0,0,0,0,,1,0
2002,"New Zealand","Syrian Arab Rep.","G / FI",0,0,5,3,0,5,0,8,0,0
2002,Norway,"Syrian Arab Rep.","G / FI",0,0,80,0,9,25,21,55,0,0
2002,Netherlands,"Syrian Arab Rep.","G / JR",462,0,0,0,0,0,0,,838,0
2002,Netherlands,"Syrian Arab Rep.","G / FI",302,0,325,19,47,455,56,577,151,0
2002,Netherlands,"Syrian Arab Rep.","G / AR",1000,0,0,16,144,577,90,827,267,0
2002,Malta,"Syrian Arab Rep.","U / FI",0,0,0,0,0,2,0,2,0,0
2002,Malta,"Syrian Arab Rep.","G / FI",0,0,5,0,3,1,1,5,0,0
2002,Mexico,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,1,0
2002,"Rep. of Moldova","Syrian Arab Rep.","U / FI",1,1,3,0,0,1,0,1,3,3
2002,Libya,"Syrian Arab Rep.","U / FI",0,0,10,0,0,10,0,10,0,0
2002,Kyrgyzstan,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,1,0
2002,Jordan,"Syrian Arab Rep.","U / FI",160,0,27,5,0,64,53,122,65,0
2002,Italy,"Syrian Arab Rep.","G / FA",0,0,92,17,1,41,0,59,0,0
2002,Israel,"Syrian Arab Rep.","G / FI",3,0,0,0,0,2,0,2,1,0
2002,Iraq,"Syrian Arab Rep.","U / FI",11,11,6,11,0,0,0,11,6,0
2002,Ireland,"Syrian Arab Rep.","G / AR",0,0,3,0,0,2,0,2,0,0
2002,Ireland,"Syrian Arab Rep.","G / FI",0,0,9,4,0,4,1,9,0,0
2002,Indonesia,"Syrian Arab Rep.","U / FI",1,1,2,1,0,0,1,2,1,1
2002,Hungary,"Syrian Arab Rep.","G / FI",1,0,20,0,1,6,4,11,10,0
2002,Greece,"Syrian Arab Rep.","G / FI",4,0,13,0,0,12,1,13,4,4
2002,France,"Syrian Arab Rep.","G / RA",0,0,0,3,0,0,0,3,0,0
2002,France,"Syrian Arab Rep.","G / FI",0,0,30,20,0,23,0,43,0,0
2002,Finland,"Syrian Arab Rep.","G / FI",10,0,6,4,6,7,0,17,0,0
2002,Estonia,"Syrian Arab Rep.","G / FI",4,0,0,0,0,4,0,4,0,0
2002,Spain,"Syrian Arab Rep.","G / FI",0,0,9,0,0,0,4,4,0,0
2002,Egypt,"Syrian Arab Rep.","U / FI",8,0,2,1,0,0,0,1,9,0
2002,Denmark,"Syrian Arab Rep.","G / AR",12,0,0,20,0,15,0,35,35,0
2002,Denmark,"Syrian Arab Rep.","G / FI",56,0,31,12,14,59,0,85,14,0
2002,Germany,"Syrian Arab Rep.","G / RA",140,0,345,22,3,17,300,342,142,0
2002,Germany,"Syrian Arab Rep.","G / NA",1012,0,1829,157,7,1514,101,1779,1137,0
2002,"Czech Rep.","Syrian Arab Rep.","G / AR",1,0,0,0,0,1,0,1,0,0
2002,"Czech Rep.","Syrian Arab Rep.","G / FI",15,0,13,4,0,0,17,21,7,0
2002,Cyprus,"Syrian Arab Rep.","U / FI",26,26,5,5,0,5,11,21,10,10
2002,Cyprus,"Syrian Arab Rep.","G / FI",0,0,10,0,0,0,0,,10,0
2002,Cuba,"Syrian Arab Rep.","U / FI",0,0,16,0,0,16,0,16,0,0
2002,Switzerland,"Syrian Arab Rep.","G / CA",0,0,0,0,27,0,0,27,0,0
2002,Switzerland,"Syrian Arab Rep.","G / FI",185,0,221,27,26,67,63,183,254,0
2002,Canada,"Syrian Arab Rep.","G / FI",134,0,113,51,0,35,19,105,142,0
2002,Brazil,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,1,1
2002,Belarus,"Syrian Arab Rep.","G / FI",3,0,0,0,0,1,0,1,2,0
2002,"Bosnia and Herzegovina","Syrian Arab Rep.","U / FI",2,2,0,0,0,0,1,1,1,1
2002,Bulgaria,"Syrian Arab Rep.","G / FI",0,0,3,2,0,1,0,3,0,0
2002,Belgium,"Syrian Arab Rep.","G / AR",0,0,21,1,0,2,1,4,0,0
2002,Belgium,"Syrian Arab Rep.","G / FI",0,0,199,2,0,28,2,32,0,0
2002,Azerbaijan,"Syrian Arab Rep.","U / FA",1,0,0,0,0,0,1,1,0,0
2002,Austria,"Syrian Arab Rep.","G / FA",0,0,134,9,0,6,79,94,0,0
2002,Australia,"Syrian Arab Rep.","G / FI",5,0,13,3,0,12,1,16,4,0
2002,Australia,"Syrian Arab Rep.","G / AR",43,0,13,5,0,31,4,40,16,0
2002,"United Arab Emirates","Syrian Arab Rep.","U / FI",52,0,10,0,0,0,2,2,60,0
2003,Yemen,"Syrian Arab Rep.","U / FI",1,1,67,1,0,0,0,1,67,67
2003,Uzbekistan,"Syrian Arab Rep.","U / FI",2,2,0,0,0,0,1,1,1,1
2003,"United States of America","Syrian Arab Rep.","G / IN",50,0,43,8,0,35,16,59,34,0
2003,"United States of America","Syrian Arab Rep.","G / EO",139,0,149,25,0,29,57,111,177,0
2003,Ukraine,"Syrian Arab Rep.","G / JR",0,0,14,0,3,3,0,6,8,8
2003,Ukraine,"Syrian Arab Rep.","G / FI",24,0,33,0,0,41,0,41,16,10
2003,Turkey,"Syrian Arab Rep.","U / FI",5,5,7,7,0,0,0,7,5,5
2003,Sweden,"Syrian Arab Rep.","G / JR",328,0,0,0,0,0,0,,425,0
2003,Sweden,"Syrian Arab Rep.","G / AR",43,0,0,26,72,456,12,566,89,0
2003,Sweden,"Syrian Arab Rep.","G / FI",500,0,666,25,22,699,36,782,372,0
2003,Slovenia,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,1,1,0,0
2003,Slovakia,"Syrian Arab Rep.","G / FI",5,0,72,0,0,0,34,34,43,0
2003,"Saudi Arabia","Syrian Arab Rep.","U / FI",0,0,6,1,0,0,5,6,0,0
2003,Romania,"Syrian Arab Rep.","G / FI",2,0,15,0,1,10,2,13,4,4
2003,Qatar,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,0
2003,Poland,"Syrian Arab Rep.","G / ar",0,0,1,0,0,3,0,3,0,0
2003,Poland,"Syrian Arab Rep.","G / FI",1,0,4,0,0,2,0,2,3,0
2003,Peru,"Syrian Arab Rep.","G / FI",2,1,0,0,0,0,0,,2,0
2003,Pakistan,"Syrian Arab Rep.","U / FI",1,0,6,7,0,0,0,7,0,0
2003,Oman,"Syrian Arab Rep.","U / FI",1,0,0,0,0,0,0,,1,0
2003,"New Zealand","Syrian Arab Rep.","G / AR",0,0,2,2,0,0,0,2,4,0
2003,"New Zealand","Syrian Arab Rep.","G / FI",0,0,7,2,0,2,0,4,0,0
2003,Norway,"Syrian Arab Rep.","G / FI",0,0,97,0,0,0,0,,0,0
2003,Netherlands,"Syrian Arab Rep.","G / AR",267,0,0,34,33,180,93,340,101,0
2003,Netherlands,"Syrian Arab Rep.","G / FI",151,0,234,22,63,277,39,401,138,0
2003,Netherlands,"Syrian Arab Rep.","G / JR",838,0,0,0,0,0,0,,601,0
2003,Malaysia,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,0
2003,Malta,"Syrian Arab Rep.","G / AR",0,0,2,0,0,0,0,,0,0
2003,Malta,"Syrian Arab Rep.","G / FI",0,0,3,0,0,2,1,3,0,0
2003,Mexico,"Syrian Arab Rep.","G / FI",1,0,2,0,0,2,0,2,1,0
2003,"Rep. of Moldova","Syrian Arab Rep.","G / FI",3,3,9,0,0,0,0,,12,12
2003,Morocco,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,0
2003,Luxembourg,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,0,0
2003,Kuwait,"Syrian Arab Rep.","U / FI",0,0,1,0,0,1,0,1,0,0
2003,Kyrgyzstan,"Syrian Arab Rep.","G / FI",1,0,17,0,0,0,0,,18,6
2003,Jordan,"Syrian Arab Rep.","U / JR",0,0,10,0,0,0,0,,10,0
2003,Jordan,"Syrian Arab Rep.","U / FI",65,0,62,21,0,15,33,69,58,0
2003,Iraq,"Syrian Arab Rep.","U / FI",6,0,0,0,0,0,0,,6,0
2003,"Iran (Islamic Rep. of)","Syrian Arab Rep.","U / FI",0,0,1,0,0,0,1,1,0,0
2003,Ireland,"Syrian Arab Rep.","G / AR",2,0,4,1,0,2,0,3,3,0
2003,Ireland,"Syrian Arab Rep.","G / FI",9,0,15,3,0,4,4,11,13,0
2003,Indonesia,"Syrian Arab Rep.","U / FI",1,1,0,1,0,0,0,1,0,0
2003,Hungary,"Syrian Arab Rep.","G / AR",0,0,0,0,0,0,0,,7,0
2003,Hungary,"Syrian Arab Rep.","G / FI",10,0,11,0,7,4,5,16,5,0
2003,Greece,"Syrian Arab Rep.","G / fi",5,5,20,0,0,11,2,13,12,12
2003,"United Kingdom","Syrian Arab Rep.","G / FI",0,0,156,15,0,142,18,175,0,0
2003,France,"Syrian Arab Rep.","G / RA",0,0,4,7,0,0,0,7,0,0
2003,France,"Syrian Arab Rep.","G / FI",0,0,55,6,0,35,0,41,0,0
2003,Finland,"Syrian Arab Rep.","G / FI",0,0,39,0,11,11,5,27,0,0
2003,Spain,"Syrian Arab Rep.","G / JR",0,0,0,0,0,1,0,1,0,0
2003,Spain,"Syrian Arab Rep.","G / FI",0,0,7,2,0,5,2,9,0,0
2003,Egypt,"Syrian Arab Rep.","U / FI",9,0,11,5,0,3,0,8,12,0
2003,Ecuador,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,1,1
2003,Algeria,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,0
2003,Denmark,"Syrian Arab Rep.","G / AR",35,0,0,4,5,31,0,40,18,0
2003,Denmark,"Syrian Arab Rep.","G / FI",14,0,56,4,0,30,0,34,10,0
2003,Germany,"Syrian Arab Rep.","G / RA",142,0,242,20,1,14,274,309,104,0
2003,Germany,"Syrian Arab Rep.","G / NA",1137,0,1192,117,10,1584,87,1798,599,0
2003,"Czech Rep.","Syrian Arab Rep.","G / FI",7,7,6,4,0,1,5,10,3,3
2003,Cyprus,"Syrian Arab Rep.","U / FI",10,10,7,6,0,10,1,17,0,0
2003,Cyprus,"Syrian Arab Rep.","G / FI",10,0,37,0,0,2,1,3,44,0
2003,Switzerland,"Syrian Arab Rep.","G / CA",0,0,0,0,23,0,0,23,0,0
2003,Switzerland,"Syrian Arab Rep.","G / FI",254,0,175,10,22,182,98,312,135,0
2003,Canada,"Syrian Arab Rep.","G / FI",142,0,139,48,0,62,8,118,162,0
2003,Brazil,"Syrian Arab Rep.","G / FI",1,1,2,0,0,0,1,1,2,2
2003,Belarus,"Syrian Arab Rep.","G / FI",2,0,0,0,0,0,0,,2,0
2003,"Bosnia and Herzegovina","Syrian Arab Rep.","U / FI",1,1,1,1,0,0,0,1,1,1
2003,Bulgaria,"Syrian Arab Rep.","G / FI",0,0,9,1,3,5,0,9,0,0
2003,Belgium,"Syrian Arab Rep.","G / AR",9,0,186,0,0,21,4,25,170,0
2003,Belgium,"Syrian Arab Rep.","G / FI",0,0,210,3,0,186,17,206,0,0
2003,Austria,"Syrian Arab Rep.","G / FA",0,0,153,18,0,14,0,32,0,0
2003,Australia,"Syrian Arab Rep.","G / FI",4,0,17,0,0,14,1,15,4,0
2003,Australia,"Syrian Arab Rep.","G / AR",16,0,10,3,0,7,1,11,15,0
2003,Armenia,"Syrian Arab Rep.","G / FI",0,0,4,0,0,1,0,1,3,0
2003,"United Arab Emirates","Syrian Arab Rep.","U / FI",60,0,30,12,0,0,51,63,27,0
2004,Bulgaria,"Syrian Arab Rep.","G / FI",0,0,21,5,4,7,3,19,2,0
2004,Belgium,"Syrian Arab Rep.","G / FI",0,0,182,55,0,147,21,223,0,0
2004,Belgium,"Syrian Arab Rep.","G / AR",170,0,152,0,0,65,4,69,253,0
2004,Azerbaijan,"Syrian Arab Rep.","U / FI",0,0,1,1,0,0,0,1,0,0
2004,Austria,"Syrian Arab Rep.","G / FA",0,0,131,21,2,14,54,91,0,0
2004,Australia,"Syrian Arab Rep.","G / FI",4,0,14,0,0,0,0,,0,0
2004,Australia,"Syrian Arab Rep.","G / AR",15,0,15,10,0,16,2,28,2,0
2004,Armenia,"Syrian Arab Rep.","G / FI",3,3,0,0,0,0,3,3,0,0
2004,"United Arab Emirates","Syrian Arab Rep.","U / FI",27,0,34,20,0,6,10,36,25,0
2004,Afghanistan,"Syrian Arab Rep.","U / FI",0,0,1,1,0,0,0,1,0,0
2004,"Bosnia and Herzegovina","Syrian Arab Rep.","U / FI",1,1,0,0,0,0,0,,1,1
2004,Belarus,"Syrian Arab Rep.","G / FI",2,0,6,0,0,0,5,5,3,0
2004,Brazil,"Syrian Arab Rep.","G / FI",2,2,0,0,0,1,0,1,1,1
2004,Canada,"Syrian Arab Rep.","G / FI",162,0,88,89,0,62,5,156,95,0
2004,Switzerland,"Syrian Arab Rep.","G / FI",135,0,127,11,0,89,84,184,106,0
2004,Switzerland,"Syrian Arab Rep.","G / CA",0,0,0,0,29,0,0,29,0,0
2004,Cyprus,"Syrian Arab Rep.","G / FI",44,0,547,10,2,27,35,74,517,0
2004,Cyprus,"Syrian Arab Rep.","G / AR",0,0,17,0,0,1,1,2,15,0
2004,Cyprus,"Syrian Arab Rep.","U / FA",0,0,2,0,1,0,1,2,0,0
2004,"Czech Rep.","Syrian Arab Rep.","G / FI",3,3,4,0,0,2,5,7,0,0
2004,Germany,"Syrian Arab Rep.","G / NA",599,0,768,79,8,830,137,1054,359,0
2004,Germany,"Syrian Arab Rep.","G / RA",104,0,425,9,4,22,367,402,116,0
2004,Denmark,"Syrian Arab Rep.","G / FI",10,0,56,5,0,26,0,31,13,0
2004,Denmark,"Syrian Arab Rep.","G / AR",18,0,0,11,3,20,0,34,5,0
2004,Algeria,"Syrian Arab Rep.","U / FI",1,0,0,0,0,0,0,,1,0
2004,Ecuador,"Syrian Arab Rep.","G / FI",1,1,1,0,0,0,0,,2,2
2004,Egypt,"Syrian Arab Rep.","U / FI",12,0,6,0,0,4,11,15,3,0
